,Titulo,Texto,textoPLN,tf-idf
0,Rollitos de Ensaladilla _ Receta de Cocina en Familia.txt,cervecita gramaje hoy son un arreglito ensaladillas para hacer solita aquí tranca simplemente que tú muchas veces se puede aprovechar que tenemos un saber crítico que no quieras entonces por ahí cambiaría un hueso y jamón cocido simplemente con eso va hacer la ensalada para que no salga la rayita muy grande bueno Y también unos palillos natural tengo aquí loncha de jamón si no Si tenés cuadrado pues ya no tienes que partir y como no tenía cuadrado que tengo de esas y rectangular aprovecho lo parto por la mitad y mira qué fácil para Mackie momento una extranjera o árboles una cucharada de ensaladilla hojas para familia que tenemos una pinche pinche aperitivo que lo ordinario se preparan y lo tenemos para tomar y así aprovechar,"['cervecit', 'gramaj', 'hoy', 'arreglit', 'ensaladill', 'hac', 'solit', 'aqu', 'tranc', 'simplement', 'much', 'vec', 'pued', 'aprovech', 'sab', 'critic', 'quier', 'entonc', 'ahi', 'cambi', 'hues', 'jamon', 'coc', 'simplement', 'va', 'hac', 'ensal', 'salg', 'rayit', 'grand', 'buen', 'palill', 'natural', 'aqu', 'lonch', 'jamon', 'si', 'si', 'tenes', 'cuadr', 'pues', 'part', 'cuadr', 'rectangul', 'aprovech', 'part', 'mit', 'mir', 'facil', 'macki', 'moment', 'extranjer', 'arbol', 'cuchar', 'ensaladill', 'hoj', 'famili', 'pinch', 'pinch', 'aperit', 'ordinari', 'prep', 'tom', 'asi', 'aprovech']","  (4, 3)	1.0
  (5, 4)	1.0
  (7, 1)	1.0
  (9, 9)	1.0
  (13, 0)	1.0
  (21, 5)	1.0
  (23, 9)	1.0
  (25, 4)	1.0
  (33, 1)	1.0
  (35, 5)	1.0
  (36, 8)	1.0
  (37, 8)	1.0
  (39, 2)	1.0
  (41, 6)	1.0
  (42, 2)	1.0
  (44, 0)	1.0
  (45, 6)	1.0
  (54, 3)	1.0
  (57, 7)	1.0
  (58, 7)	1.0
  (64, 0)	1.0"
1,Bocados de Salmón y Queso _ Receta de Cocina en Familia.txt,la receta más rica de jamón y queso y para hacer este entrante sencilla su elaboración entonces tengo aquí los siguientes ingredientes 1 tarrina de queso crema de 250 gramos 2 gramos de salmón 30 G de semana bien escurrida y ya sé que no le di mucha humedad y lo utilizaré suscríbete para recibir las notificaciones,"['recet', 'ric', 'jamon', 'ques', 'hac', 'entrant', 'sencill', 'elabor', 'entonc', 'aqu', 'siguient', 'ingredient', '1', 'tarrin', 'ques', 'crem', '250', 'gram', '2', 'gram', 'salmon', '30', 'g', 'seman', 'bien', 'escurr', 'se', 'di', 'much', 'humed', 'utiliz', 'suscribet', 'recib', 'notif']","  (0, 18)	1.0
  (1, 20)	1.0
  (2, 14)	1.0
  (3, 17)	1.0
  (4, 11)	1.0
  (5, 8)	1.0
  (6, 24)	1.0
  (7, 6)	1.0
  (8, 7)	1.0
  (9, 2)	1.0
  (10, 25)	1.0
  (11, 13)	1.0
  (13, 27)	1.0
  (14, 17)	1.0
  (15, 4)	1.0
  (16, 0)	1.0
  (17, 10)	1.0
  (19, 10)	1.0
  (20, 21)	1.0
  (21, 1)	1.0
  (23, 23)	1.0
  (24, 3)	1.0
  (25, 9)	1.0
  (26, 22)	1.0
  (27, 5)	1.0
  (28, 15)	1.0
  (29, 12)	1.0
  (30, 28)	1.0
  (31, 26)	1.0
  (32, 19)	1.0
  (33, 16)	1.0"
2,Chips de Boniato o Batata _ Receta de Cocina en Familia.txt,receta que quiero compartir con todos vosotros y yo una deliciosa y riquísimas y de boniato conocido también por patada entonces para yo tengo aquí lo siguiente ingrediente sin boniato que pesa 450 G utilizar un poco de pimienta un poco de pimentón Dulce otro poco de ajo molido tomillo y orégano las cantidades inflables todo se puede todo menos de media cucharadita y aceite de oliva simplemente con este ingrediente sale una riquísima chiste empiezo a laborar el primer paso es poner todas las 3 ya junto y mezclar el boniato lo tengo lavado y llegó y lo pelo al que no le gusta pelar los amigos Lalo con un cuchillo,"['recet', 'quier', 'compart', 'delici', 'riquisim', 'boniat', 'conoc', 'pat', 'entonc', 'aqu', 'siguient', 'ingredient', 'boniat', 'pes', '450', 'g', 'utiliz', 'pimient', 'pimenton', 'dulc', 'ajo', 'mol', 'tomill', 'oregan', 'cantidad', 'inflabl', 'pued', 'men', 'medi', 'cucharadit', 'aceit', 'oliv', 'simplement', 'ingredient', 'sal', 'riquisim', 'chist', 'empiez', 'labor', 'prim', 'pas', 'pon', 'tod', '3', 'junt', 'mezcl', 'boniat', 'lav', 'lleg', 'pel', 'gust', 'pel', 'amig', 'lal', 'cuchill']","  (4, 3)	1.0
  (5, 0)	1.0
  (11, 1)	1.0
  (12, 0)	1.0
  (33, 1)	1.0
  (35, 3)	1.0
  (46, 0)	1.0
  (49, 2)	1.0
  (51, 2)	1.0"
3,Alioli Casero _ Receta de Cocina en Familia.txt,"r7 qué va a hacer hoy es un rico alioli casero y para hacer licor y tengo aquí lo siguiente ingredientes Tengo cuatro dientes de ajo dos yemas de huevo 250,6 de girasol una cucharada de vinagre de vino blanco y se conectó ingredientes preparar alioli casero empiezo compartí diente de ajo para que sea más fácil que la máquina de turing un poco Lo pondré en el vaso de la batidora somela ingredientes.con notificaciones","['r7', 'va', 'hac', 'hoy', 'ric', 'alioli', 'caser', 'hac', 'licor', 'aqu', 'siguient', 'ingredient', 'cuatr', 'dient', 'ajo', 'dos', 'yem', 'huev', '250', '6', 'girasol', 'cuchar', 'vinagr', 'vin', 'blanc', 'conect', 'ingredient', 'prepar', 'alioli', 'caser', 'empiez', 'compart', 'dient', 'ajo', 'facil', 'maquin', 'turing', 'pondr', 'vas', 'batidor', 'somel', 'ingredient', 'notif']","  (0, 25)	1.0
  (1, 30)	1.0
  (2, 16)	1.0
  (3, 17)	1.0
  (4, 26)	1.0
  (5, 2)	1.0
  (6, 6)	1.0
  (7, 16)	1.0
  (8, 20)	1.0
  (9, 3)	1.0
  (10, 27)	1.0
  (11, 19)	1.0
  (12, 9)	1.0
  (13, 11)	1.0
  (14, 1)	1.0
  (15, 12)	1.0
  (16, 34)	1.0
  (17, 18)	1.0
  (18, 0)	1.0
  (20, 15)	1.0
  (21, 10)	1.0
  (22, 33)	1.0
  (23, 32)	1.0
  (24, 5)	1.0
  (25, 8)	1.0
  (26, 19)	1.0
  (27, 24)	1.0
  (28, 2)	1.0
  (29, 6)	1.0
  (30, 13)	1.0
  (31, 7)	1.0
  (32, 11)	1.0
  (33, 1)	1.0
  (34, 14)	1.0
  (35, 21)	1.0
  (36, 29)	1.0
  (37, 23)	1.0
  (38, 31)	1.0
  (39, 4)	1.0
  (40, 28)	1.0
  (41, 19)	1.0
  (42, 22)	1.0"
4,Patatas al Ajo Cabañil _ Receta de Cocina en Familia.txt,la canción de guerra Marcelo y zona rica retiro suscríbete para recibir las notificaciones,"['cancion', 'guerr', 'marcel', 'zon', 'ric', 'retir', 'suscribet', 'recib', 'notif']","  (0, 0)	1.0
  (1, 1)	1.0
  (2, 2)	1.0
  (3, 8)	1.0
  (4, 6)	1.0
  (5, 5)	1.0
  (6, 7)	1.0
  (7, 4)	1.0
