,Titulo,Texto,textoPLN,tf-idf
0,JUDIAS BLANCAS 🍲👩‍🍳CON CHORIZO.txt,oigamos Llamar a Carlos unas judías blancas para ello necesitamos dos tiras de torreznos una hoja de laurel una cabeza de dientes de ajo chorizo pimentón dulce una cebolla usar aceite agua mineral que no tenga apenas calcio para que se cueza bien la legumbre y medio kilo de judías blancas y las tenemos un reloj en agua desde la noche anterior lo primero que hemos hecho es descubrir el agua de las lluvias y las hemos metido en una malla especial para cocer legumbres y ahora lo que vamos a hacer es pasarlas a la olla porque los vamos a cocer en la olla y las cubriremos de agua hemos cubierto las judías con el agua y hemos añadido unos dientes de ajo y Laurel un trocito de cebolla y una chorrada de aceite no se les pone la sal todavía primero vamos a cocer las papas ahora le pondremos la tapa esperaremos a que salga mucho vapor por lavar por la chimenea Y entonces pondremos la válvula esperaremos a que suban las tres rayitas y bajaremos el fuego al 12 tendremos cogiendo 4 minutos cuando han subido las tres rayitas de la válvula hemos bajado el fuego al uno al mínimo Y ahora van a estar 4 minutos pidiendo pasados estos cuatro minutos apagaremos el fuego retiraremos la olla y esperaremos a que bajen las tres rayitas porque eso significará que había que se habrá ido todo el vapor dentro de la olla y así poder abrirla mientras se fue cenadurías nos persona sartén con aceite y vamos adorar pues unos Cuántos dientes de ajo cuando estén doradas lo Sacaremos y en ese mismo aceite echaremos todas las cebollas masticado pequeñita ya hemos introducido la cebolla hemos echado sal y agarramos a esperar a que se enfría bien porque ya tenemos posadita toda la cebolla Ya viste a cambiado de color está muy blandita ahora lo que hacemos salistes añadirle una cucharada de pimentón Dulce removerlo e inmediatamente lo vamos a saber tercero esto En la cazuela donde teníamos el chorizo y el Torres No ahora ya solo nos queda que se vaya el vapor de la olla y Añadir aquí las judías y cubrirlas con caldo de la misma voy a cubrirla cerrar no te falta que sobrepase mucho Bueno ya tenemos juntos todos los ingredientes ahora es el momento de Añadir la sal lo tendremos sirviendo todo esto juntos de 10 a 15 minutos porque ahora los Sabores tienen qué mezcla se tiene que cocer muy suavemente todo junto y una vez que haya hervido todo pues ya estará el plato terminó con este proceso también lo que conseguimos es que el caldo engorde se exprese porque las tuyas que están a lo mejor ruta pues al hervir suavemente ahora pues van soltando el almidón y el caldo va estresando sobretodo espesa muchísimo Si está si está receta se hace de un día para otro aquí tenemos ya nuestras judías Blanca ya terminadas y ya dispuestas para que cojamos la cuchara y acabemos con ellas,"['oig', 'llam', 'carl', 'unas', 'jud', 'blanc', 'ello', 'necesit', 'dos', 'tir', 'torrezn', 'hoj', 'laurel', 'cabez', 'dient', 'ajo', 'choriz', 'pimenton', 'dulc', 'ceboll', 'usar', 'aceit', 'agu', 'mineral', 'apen', 'calci', 'cuez', 'bien', 'legumbr', 'medi', 'kil', 'jud', 'blanc', 'reloj', 'agu', 'noch', 'anterior', 'primer', 'hech', 'descubr', 'agu', 'lluvi', 'met', 'mall', 'especial', 'coc', 'legumbr', 'ahor', 'vam', 'hac', 'pas', 'olla', 'vam', 'coc', 'olla', 'cubr', 'agu', 'cubiert', 'jud', 'agu', 'añad', 'dient', 'ajo', 'laurel', 'trocit', 'ceboll', 'chorr', 'aceit', 'pon', 'sal', 'todav', 'primer', 'vam', 'coc', 'pap', 'ahor', 'pondr', 'tap', 'esper', 'salg', 'vapor', 'lav', 'chimene', 'entonc', 'pondr', 'valvul', 'esper', 'sub', 'tres', 'rayit', 'baj', 'fueg', '12', 'cog', '4', 'minut', 'sub', 'tres', 'rayit', 'valvul', 'baj', 'fueg', 'minim', 'ahor', 'van', '4', 'minut', 'pid', 'pas', 'cuatr', 'minut', 'apag', 'fueg', 'retir', 'olla', 'esper', 'baj', 'tres', 'rayit', 'signific', 'ido', 'vapor', 'dentr', 'olla', 'asi', 'pod', 'abrirl', 'mientr', 'cenadur', 'person', 'sarten', 'aceit', 'vam', 'ador', 'pues', 'cuant', 'dient', 'ajo', 'dor', 'sac', 'mism', 'aceit', 'echar', 'tod', 'ceboll', 'mastic', 'pequeñit', 'introduc', 'ceboll', 'echad', 'sal', 'agarr', 'esper', 'enfri', 'bien', 'posadit', 'tod', 'ceboll', 'vist', 'cambi', 'color', 'blandit', 'ahor', 'hac', 'salist', 'añad', 'cuchar', 'pimenton', 'dulc', 'remov', 'inmediat', 'vam', 'sab', 'tercer', 'cazuel', 'choriz', 'torr', 'ahor', 'sol', 'qued', 'vay', 'vapor', 'olla', 'añad', 'aqu', 'jud', 'cubr', 'cald', 'mism', 'voy', 'cubr', 'cerr', 'falt', 'sobrep', 'buen', 'junt', 'ingredient', 'ahor', 'moment', 'añad', 'sal', 'sirv', 'junt', '10', '15', 'minut', 'ahor', 'sabor', 'mezcl', 'coc', 'suavement', 'junt', 'vez', 'herv', 'pues', 'plat', 'termin', 'proces', 'consegu', 'cald', 'engord', 'expres', 'mejor', 'rut', 'pues', 'herv', 'suavement', 'ahor', 'pues', 'van', 'solt', 'almidon', 'cald', 'va', 'estres', 'sobretod', 'espes', 'muchisim', 'si', 'si', 'recet', 'hac', 'dia', 'aqu', 'jud', 'blanc', 'termin', 'dispuest', 'coj', 'cuch', 'acab']","  (47, 0)	1.0
  (75, 0)	1.0
  (103, 0)	1.0
  (162, 0)	1.0
  (177, 0)	1.0
  (197, 0)	1.0
  (206, 0)	1.0
  (227, 0)	1.0"
1,CANELONES RELLENOS DE ESPINACAS GRATINADOS.txt,bueno y vamos a hacer unos canelones de espinacas con piñones y un poquito debes amigos entonces para ello hemos lavado bien las hojas de espinacas y hemos puesto a hervir agua con sal entonces lo que vamos a hacer es ir echando la para darles un hervor serán Armando extraída de las tendremos hirviendo pues unos 5 minutos aproximadamente Por qué se hacen en sanidad luego las escribimos en la escuela espinacas Pues en un recipiente con agua introducido las láminas de canelón precocinadas cómo puedes traer ahí es el paquete Y entonces vamos a dejarla unos 20 minutos para que se reblandece y después en rellenarlas y formar los canelones entonces hora del momento En qué estar ahí en el agua bien caliente una mente muy bueno una vez cocinar las espinacas 15 minutos aproximadamente lo hacemos escurrido muy bien y la hacemos picado con un cuchillo para que queden verdes hechas y ahora lo que vamos a hacer es en una sartén poner aceite y unos dientes de ajo troceado lo lograremos lo Sacaremos e introducir hemos unos piñones y unas pasas bueno Me alegra dos losas para lo que vamos a hacer el análisis de las casas y los piñones y recelos un poco retirado los asesores que se han durado y hemos agregado los piñones Y las pasas le daremos unas vueltas y agregaremos las espinacas para referir todo Bueno ya tenemos refiriéndose las espinacas junto con los riñones y la casa cierra lo que hacemos Es añadirle una cucharada una cucharada de harina porque vamos a hacer una una especie de crema Como si fuese una bechamel pero es V para poder ir luego los canelones Bueno vamos a probarlo bien y agregaremos las emociones expresando y se formará Una pasta espesita con la que rellenaremos los canelones también podríamos haber añadido escabeche porque están muy ricos mezclados con escabeche Pero bueno en esta ocasión nos vamos a hacer solo de espinaca con piña nuez y pasas Órale arreglaremos nuez moscada rallada para darle un sabor especial está riquísimo Bueno ya que tenemos ya el relleno acabado vivo requisito de sal porque las espinacas son que llevaba era su sal pero al hacer esa especie de besarme y pues se pone más allá de emociones coloreo también hermosa cara y buena persona esperaremos a que se enfríen día que se terminen de ablandar los canelones para formar los los rulos Bueno una vez tía la pasta hemos extendido las placas sobre un paño limpio hacemos acá un poco y vos pues toda una cucharada de relleno de cada una de ellas y a continuación pasaremos enrollados para formar los canelones Entonces ahora solo tenemos que colocarlo sobre una fuente y hacer una vez al el cubrirlos con ellas y gratinadas en el horno Bueno ahora vamos elaborar la Bésame entonces hemos puesto a calentar aceite y ahora le añadimos harina porque no tiene que quedar muy espesa salió vamos para que la harina pierde el sabor a cruda,"['buen', 'vam', 'hac', 'canelon', 'espinac', 'piñon', 'poquit', 'deb', 'amig', 'entonc', 'ello', 'lav', 'bien', 'hoj', 'espinac', 'puest', 'herv', 'agu', 'sal', 'entonc', 'vam', 'hac', 'ir', 'echand', 'darl', 'hervor', 'armand', 'extraid', 'hirv', 'pues', '5', 'minut', 'aproxim', 'hac', 'sanid', 'lueg', 'escrib', 'escuel', 'espinac', 'pues', 'recipient', 'agu', 'introduc', 'lamin', 'canelon', 'precocin', 'com', 'pued', 'tra', 'ahi', 'paquet', 'entonc', 'vam', 'dej', '20', 'minut', 'reblandec', 'despues', 'rellen', 'form', 'canelon', 'entonc', 'hor', 'moment', 'ahi', 'agu', 'bien', 'calient', 'ment', 'buen', 'vez', 'cocin', 'espinac', '15', 'minut', 'aproxim', 'hac', 'escurr', 'bien', 'hac', 'pic', 'cuchill', 'qued', 'verd', 'hech', 'ahor', 'vam', 'hac', 'sarten', 'pon', 'aceit', 'dient', 'ajo', 'troc', 'logr', 'sac', 'introduc', 'piñon', 'unas', 'pas', 'buen', 'alegr', 'dos', 'los', 'vam', 'hac', 'analisis', 'cas', 'piñon', 'recel', 'retir', 'asesor', 'dur', 'agreg', 'piñon', 'pas', 'dar', 'unas', 'vuelt', 'agreg', 'espinac', 'refer', 'buen', 'refir', 'espinac', 'junt', 'riñon', 'cas', 'cierr', 'hac', 'añad', 'cuchar', 'cuchar', 'harin', 'vam', 'hac', 'especi', 'crem', 'si', 'bechamel', 'v', 'pod', 'ir', 'lueg', 'canelon', 'buen', 'vam', 'prob', 'bien', 'agreg', 'emocion', 'expres', 'form', 'past', 'espesit', 'rellen', 'canelon', 'podr', 'hab', 'añad', 'escabech', 'ric', 'mezcl', 'escabech', 'buen', 'ocasion', 'vam', 'hac', 'sol', 'espinac', 'piñ', 'nuez', 'pas', 'oral', 'arregl', 'nuez', 'mosc', 'rall', 'darl', 'sabor', 'especial', 'riquisim', 'buen', 'rellen', 'acab', 'viv', 'requisit', 'sal', 'espinac', 'llev', 'sal', 'hac', 'especi', 'bes', 'pues', 'pon', 'alla', 'emocion', 'colore', 'hermos', 'car', 'buen', 'person', 'esper', 'enfri', 'dia', 'termin', 'abland', 'canelon', 'form', 'rul', 'buen', 'vez', 'tia', 'past', 'extend', 'plac', 'pañ', 'limpi', 'hac', 'aca', 'vos', 'pues', 'tod', 'cuchar', 'rellen', 'cad', 'continu', 'pas', 'enroll', 'form', 'canelon', 'entonc', 'ahor', 'sol', 'coloc', 'fuent', 'hac', 'vez', 'cubr', 'gratin', 'horn', 'buen', 'ahor', 'vam', 'elabor', 'besam', 'entonc', 'puest', 'calent', 'aceit', 'ahor', 'añad', 'harin', 'qued', 'espes', 'sal', 'vam', 'harin', 'pierd', 'sabor', 'crud']","  (0, 0)	1.0
  (1, 5)	1.0
